chrom	chrompos	abspos	C10_S10_R1_001	C100_S100_R1_001	C101_S101_R1_001	C103_S103_R1_001	C104_S104_R1_001	C105_S105_R1_001	C106_S106_R1_001	C107_S107_R1_001	C108_S108_R1_001	C109_S109_R1_001	C11_S11_R1_001	C110_S110_R1_001	C111_S111_R1_001	C112_S112_R1_001	C113_S113_R1_001	C114_S114_R1_001	C115_S115_R1_001	C116_S116_R1_001	C117_S117_R1_001	C118_S118_R1_001	C119_S119_R1_001	C120_S120_R1_001	C121_S121_R1_001	C122_S122_R1_001
1	1311585	1311585	2.48049685130281	263.722083853315	84.1947837647814	228.624774926135	191.638810316854	208.104955797173	186.385727705536	162.670178912232	357.87969623227	258.208960260078	98.8011288507274	175.799995501945	196.400971315954	82.254559535901	141.861319530198	376.89252625254	133.347117822006	196.4172124456	310.582579020016	418.351261044136	207.327699847508	117.304333554111	394.149081251433	180.255330764237
1	1988509	1988509	2.74097209104093	269.966156891255	54.9540259954726	217.066906372255	155.569753553567	104.991473818694	152.127539038744	119.363712110942	277.288840723128	193.355173684289	36.7853596633284	154.41255447928	165.363806105557	69.201735300097	134.613996391735	306.077265752596	109.473558553758	169.328499200619	299.852855020625	319.496176923223	184.591648199788	80.7962385188799	356.227485882573	133.557692779864
1	2529294	2529294	1.85760524774499	318.07685781764	88.6058402638897	190.6032146673	167.273094312308	192.988242643221	167.829193694224	182.388210347894	351.324744230558	312.478766072281	51.7297711469203	189.90492094418	208.673413801127	69.8077862831037	161.979790075009	369.606822935673	132.618110143965	156.871393778318	318.717491768139	407.600967344172	232.134193417244	103.63014487241	240.831404510251	177.655765526968
1	3144679	3144679	0.21262628075484	248.138141350866	75.5803811996117	189.439812920846	142.037904731649	142.052247565835	166.298372568707	125.95135675201	300.090896530453	209.482694542009	23.4499227661775	166.95780434235	162.066337876466	70.2751303029827	143.66291736928	287.592550467597	116.138954298686	219.014720532543	252.383227334902	328.079738736141	171.320128638596	101.673654879348	306.212049007275	124.562391719873
1	3664504	3664504	2.00341444234576	199.999105954576	61.4732642457475	167.589962229327	146.740355537717	168.453064471719	146.660416061588	167.794230879787	322.124207351003	219.202344863812	55.8450016387283	154.325922927614	138.203820394374	54.6961673864563	126.198486794123	320.146764447997	149.932790246031	162.896220786065	249.539707551778	331.69295550783	190.660652057086	55.69629925675	239.911863571478	110.214863199172
1	4369117	4369117	2.8275831486157	235.554660086527	66.8063424514693	173.298243535293	151.316699569528	140.707595067757	170.039219915606	147.737693136669	323.596385773728	232.04611987607	18.9925143368295	198.857090792267	134.893953429869	39.5197521691707	132.154178250093	330.517457307128	130.544225829089	153.866749236797	289.848286300073	316.062852985773	141.963875014082	82.8943632702673	168.149073890007	145.578113507114
1	4893187	4893187	1.29255584041574	241.508142102	77.2846610022955	178.945899343438	148.208375607951	170.726492019204	144.52147343793	145.804443922498	289.325676987768	190.410590409688	29.954758837547	143.96849908684	166.720641339189	43.7686685311087	160.091515376458	285.833915781424	162.890591374981	172.411230509144	293.713250375512	285.999758946647	194.270048314972	63.1195545464973	209.495324567578	132.970940146115
1	5434548	5434548	0.972844813785314	262.573027608651	67.3365902524096	155.666123974122	164.118376319934	161.40953906768	157.518120542903	144.726329354717	321.012952215369	228.503239063773	50.3856337266077	174.623021369175	141.028673703603	12.1825702390467	173.744511817946	321.964875235911	143.531128903633	196.039895273376	261.042982405181	354.198250402161	216.554136743956	84.0226599272206	267.81051757733	154.047208908283
1	5964111	5964111	2.27651625149595	200.578363570378	57.0278175204527	160.15694607105	115.743887078416	165.949408436995	175.937584302774	146.33337259289	353.780064900146	254.521115678888	86.5578901620071	190.488675811508	147.698292415576	46.5633567288915	152.421484727256	273.766150465338	145.582618116104	154.609662659054	281.864668883424	336.302204084588	183.771706890465	77.3963697336522	272.835635276463	186.845280408238
1	6523266	6523266	2.66870628327676	220.447858101327	83.3344544422797	163.565344385485	153.909095034456	163.994403637913	141.88056311076	154.534044046134	309.592836460055	228.894451241242	71.0229444245204	163.776556121935	155.432531027455	78.3872809509742	104.799965313594	324.865019203161	117.591171282161	161.775005250465	287.102117749661	396.204432914048	223.90072822433	78.194812886124	253.352643464549	148.581802762025
1	7082403	7082403	1.5413264774941	239.433364737431	73.9959129624347	126.247101752892	131.421604220163	157.700487569495	147.290421958964	142.769659388356	300.585654456215	221.635985943254	59.9935285512296	160.956633329625	176.107258572024	79.9558091819322	111.711974506345	279.583353048367	142.601703540262	169.429663938424	223.189718536444	368.986326316604	190.465366806791	71.2551454885651	295.906675802106	126.139861094505
